TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
ShowClass,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.79323014717354,226,196
ShowClass,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.79323014717354,226,196
